hashtag,tweets,main tweet
Common,"[('The common denominator in MOST I said most not all fatal police incidents is FAILURE TO COMPLY people Respect.', 752734530029678592), ('All great achievements have one thing in common people with a passion to succeed.', 752734478426968064), ('TRUMP SAYS THE FAVORITE THING HE HAS IN COMMON WITH HIS OWN DAUGHTER IS SEX OPTRUMP ANONYMOUS ANONFAMILY.', 752734319995719680), ('TRUMP SAYS THE FAVORITE THING HE HAS IN COMMON WITH HIS OWN DAUGHTER IS SEX OPTRUMP ANONYMOUS ANONFAMILY htt.', 752734419408941057), ('common feelings the signs experience.', 752734543275143168), ('How Doom hold heat and preach nonviolence Shhhh he bout to start the speech common silence.', 752734457539461120), ('US Secretary of State JohnKerry to visit Moscow seeking common ground on Syria.', 752734419341938688), ('Let s use some common sense Pokenators.', 752734401042141184), ('A1 DYK 10 million people are allergic to cat dander Its the most common pet allergen SNSweepstakes.', 752734464761999360)]","[('Balaji Police hitting a common man s such a shame and cruel thing Hope officers wl take necessary action People shld respect polic.', 752734353801654273)]"
#RXaFilm,"[('A Bayer for the Dying RXaFilm.', 752732161795579904), ('The DaVinci Hydrocodone RXaFilm.', 752732418369609728), ('angela s aspirins RXaFilm.', 752732297498009601), ('RXaFilm The Devils Adderall.', 752733556925829120), ('12 Itchy Men RXaFilm.', 752733202398081024), ('2 164 HipHopHonors HRDerby TheBachelorette LHHATL ShawnOnFallon IfSelfiesNeverExisted RXaFilm RHOC.', 752733484574060544), ('Poison I V RXaFilm.', 752734301901365248), ('V for Viagra RxaFilm.', 752732883283021824), ('The Da Vinci Codeine RXaFilm.', 752733519206506496)]","[('Between the Lips Now RXaFilm.', 752734325875961856)]"
Fantasia,"[('tonthanasit PORaf7 TaoPhiangphor true fantasia https.', 752734258968485888), ('14 17 00 100 ig true fantasia leenamm.', 752734328061239296), ('Fantasia concerts be lit pt2.', 752734512191115265), ('17 This that work From Fantasia.', 752733878075490308), ('phimnara Benzji af12 true fantasia MariewAF12.', 752733563976445952), ('af12 jojoe phimnara true fantasia MariewAF12.', 752733478035132416), ('Fantasia is the best American Idol period Her story her voice her work ethic QUEEN HipHopHonors.', 752734273602351104), ('RT Anaaaaaa Say what you want Monica Fantasia and keyshia Cole made some of the best break up songs.', 752734510366662658), ('ESPOSAS PARA NOCHES DE FANTASIA.', 752734502552612864)]","[('tonthanasit PORaf7 TaoPhiangphor true fantasia FC.', 752733868176777217)]"
#TheBachelorette,"[('PamelaBwell lmao jamesNeedsAmakeover TheBachelorette.', 752734408004644864), ('even after being eliminated he s such a gentleman I LOVE YOU JAMES TAYLOR thebachelorette.', 752734252710653953), ('First my dream girl And now this beautiful boy All because of this silly show TheBachelorette.', 752734356783915008), ('Kind of sad we are never doing to meet James Taylor s dad James Taylor TheBachelorette.', 752734322029846530), ('Aaron Rodgers watching this episode of TheBachelorette like.', 752734319399972864), ('Why is James starting drama Like that s not necessary I used to really like James now I m not sure TheBachelorette.', 752734302169886720), ('Also I love how every time Jordan talked about being in love with JoJo he shook his head no bodylanguageisimportant TheBachelorette.', 752734243797684224), ('the whole date with Jojo and Alex was SO awkward TheBachelorette.', 752734258699972609), ('James Taylor may be the nicest human on the planet TheBachelorette JamesTaylorforBachelor.', 752734366782988289)]","[('RT for JamesTaylorforBachelor TheBachelorette.', 752734417995563008)]"
#UnlikelyMedicalProcedures,"[('Feminist cancer removal UnlikelyMedicalProcedures.', 752731516388667392), ('Rib removal so the patient can make a woman from it UnlikelyMedicalProcedures.', 752730248056152064), ('Wolverine Adamantium claw installation UnlikelyMedicalProcedures.', 752730472141221888), ('UnlikelyMedicalProcedures Truth serum injection for Hillary since she can t stop lying LiarLiarPantSuitOnFire.', 752731918291042304), ('Star4 Lasik Eye rolling Surgery UnlikelyMedicalProcedures.', 752731267892932608), ('Broken heart repair UnlikelyMedicalProcedures.', 752733697917329409), ('Mend a broken heart UnlikelyMedicalProcedures.', 752732403135807488), ('Thought as a prerequisite to speech UnlikelyMedicalProcedures.', 752732265948454912), ('UnlikelyMedicalProcedures install a mute button.', 752732251834593280)]","[('UnlikelyMedicalProcedures Spine Installation Surgery.', 752734466791972864)]"
#pursuit,"[('PURSUIT Driver in custody after crash ends pursuit and driver falls out of vehicle.', 752734117851238400), ('PURSUIT UPDATE A number of patrol units have backed off unclear why pursuit in South LA.', 752730706023837697), ('South LA pursuit driver leads police on wild chase hitting car almost hitting cyclist.', 752734207571472385), ('RT JenniferKim Another wild chase StringerLA is the very best LIVE Pursuit chopper.', 752730891143655425), ('LIVE A Silver SUV is being chased by police in Southern California Pursuit Chase.', 752731423870562304), ('Thank fuck there is a car chase Normalcy Finally pursuit.', 752732983266676736), ('PURSUIT UPDATE Suspect is now in custody LIVE.', 752734091187982336), ('And that folks is why u don t eat Fast food before u lead the police on a car chase Pursuit Fail.', 752734263716438016), ('PURSUIT Driver exits at Manchester and heads into residential area WATCH LIVE.', 752730822495526914)]","[('PURSUIT UPDATE The pursuit has ended at 59th and Normandie LIVE.', 752734312638795776)]"
#LHHATL,"[('1 Waka gotta man up You can t have your mama amp woman out here crying because of you LHHATL.', 752734464367849472), ('Driaa I hope my mother in law loves me like Deb loves Tammy lhhatl.', 752734438426046464), ('Didn t Waka and Tammy just get married like 5 minutes ago I really hope they work it out cause he really misses her LHHATL.', 752734475323252736), ('Ms Deb crying broke my heart LHHATL she know her son stupid asf knew Tammy was the best thing happening to him.', 752734443652120577), ('1 Can t see my girl go through this because of a break up LHHATL.', 752734497179918337), ('K Michelle just came through and killed everyone s little ego lol lhhatl.', 752734471435149312), ('swagg Can t wait for the LHHATL reunion.', 752734484269768704), ('Deb amp Tammy s relationship is beautiful I just hope when I do get married I can talk to my husband s mother about anyth.', 752734448358191104), ('LMAO why Lyfe Jennings play Karlie Redd like that LHHATL.', 752734496366075906)]","[('Every girl that gets married Needs to have a relationship with their mother in law like Tammy has with Deb LHHATL.', 752734480717209600)]"
#RHOC,"[('2 164 HipHopHonors HRDerby TheBachelorette LHHATL ShawnOnFallon IfSelfiesNeverExisted RXaFilm RHOC.', 752733484574060544), ('01021543560 01021543560 01021543560 RHOC.', 752734240547102721), ('Time to back off Vicki Saint Tamra RHOC.', 752734393324564480), ('Vicki heads back to Oklahoma to help Briana move back homeour RHOC recap.', 752734276148494337), ('LizzieRovsek RHousewives101 vgunvalson I love what a good friend you are to Vicki Will we get to see you on RHOC this year.', 752734777510359041), ('Wow new girls got a nice house RHOC KellyDodd rhoc can t wait to see next week.', 752734854723186688), ('Ways I need to get me some of that hexagonal ice RHOC richpeopleproblems.', 752733635338395648), ('I need to get me some of that hexagonal ice RHOC richpeopleproblems.', 752732789548593152), ('EW Vicki heads back to Oklahoma to help Briana move back homeour RHOC recap.', 752733184727580672)]","[('Send casseroles to Vicky rhoc.', 752734300634624000)]"
Kelly Rowland,"[('Kelly Rowland is perfection.', 752733282169593856), ('Kelly Rowland is a baddie.', 752732893697470464), ('Kadeeja Kelly Rowland can have ALL of me.', 752733461471899649), ('Kelly Rowland chocolate ass.', 752731324792836096), ('Kelly Rowland looking like whole snack out here.', 752734332616310797), ('Kelly Rowland fine as hell.', 752731884979838976), ('Kelly rowland fine asl.', 752731419156180992), ('Kelly Rowland skin made with Godiva chocolate.', 752731604175421440), ('NowPlaying KELLY ROWLAND DAYLIGHT.', 752731718092726273)]","[('KELLY ROWLAND FINE ASS.', 752733108353568768)]"
#OddMomOut,"[('JMunozActor JasCephasJones himynameisemmy SydneyHarcourt austinsmithsolo DWattsWords Hameos OddMomOut.', 752726024211816448), ('01021543560 01021543560 01021543560 OddMomOut.', 752729035537473537), ('The Hamilton actors were on OddMomOut tonight Mind blown.', 752733900510724096), ('Idk what this Odd Mom Out show is but I m loving the Hamilton episode So Many References Love it OddMomOut Hamilton HamiltonMusical.', 752728522716655616), ('Jill in OddMomOut is totally me when people talk about Hamilton.', 752729952768761857), ('Jill hasn t seen Hamilton So hilarious OddMomOut.', 752732837867098112), ('OddMomOutRW your Hamilton episode featuring cast members from the show was brilliant I laughed out loud OddMomOut.', 752729867955822593), ('Hamilton is like Frozen for adults OddMomOut.', 752729250952646656), ('Every New Yorker reaction when you say I haven t seen Hamilton OddMomOut Bravotv jillkargman.', 752725328343146496)]","[('OddMomOutRW banned by uber I can t even OddMomOut.', 752728161998090241)]"
