hashtag,tweets,main tweet
Suspect in San Diego,"[('Suspect in San Diego homeless killings is freed no charges.', 752779617770102784), ('San Diego police free suspect in homeless killings San Diego police freed a man Monday whom they arrested in.', 752765260205961220), ('Suspect in San Diego homeless killings is off the hook suspect.', 752772754362003456), ('San Diego police free suspect in brutal killings of homeless.', 752776330563948550), ('San Diego police free suspect in homeless killings CNN.', 752766666480750593), ('Suspect in San Diego homeless killings is freed no charges FoxNews.', 752761036134985728), ('TribLIVE Suspect in San Diego homeless killings is freed no charges.', 752763394252570624), ('Suspect in San Diego homeless killings is freed nocharges.', 752767249581125632), ('chulavista ca San Diego police free suspect in homeless killings.', 752763191285821440)]","[('Suspect in San Diego homeless killings is freed no charges A homeless man who police had identified as the s.', 752763359964135424)]"
Lyfe Jennings,"[('HipHop Love amp Hip Hop Atlanta Lyfe Jennings Sets The Record Straight On Karlie via hng https.', 752782278477041666)]","[('LMAO why Lyfe Jennings play Karlie Redd like that LHHATL.', 752782604974166017)]"
Forever Boy,"[('Knew Better talking to Forever Boy.', 752782351239827461), ('Knew Better Forever Boy.', 752777096880123904), ('knew better gt forever boy.', 752775858419560448), ('you re my forever boy.', 752779782476034049), ('knew better talking to forever boy.', 752775985003569154), ('forever boy is better tho.', 752773121057419264), ('knew better is still better than forever boy.', 752775058716659712), ('Boy that s forever my gif.', 752779737769050113), ('stop saying knew better is better than forever boy we already know this information i mean it s common sense.', 752779418041364481)]","[('knew better forever boy.', 752781791296000000)]"
'Manhattanhenge',"[('Loving all these photos of Manhattanhenge.', 752782625186648064), ('Manhattanhenge New York sun sets in line with city grid.', 752782347951628288), ('Manhattanhenge Thousands gather to see setting sun aligning with New York streets.', 752782144754245632), ('Manhattanhenge returns to light up New York City s streets for the last time this year.', 752782166514335744), ('Manhattanhenge Returns to Light Up New York Citys Streets For the Last Time This Year news NYC.', 752781424843948032), ('New Yorkers capture the warm glow of Manhattanhenge.', 752782544710447104), ('Magnificent Manhattanhenge sunset tonight in NYC NewYorkCity NewYork.', 752781668465901568), ('New Yorkers go wild for Manhattanhenge sunset.', 752782672972255232), ('Great shot of Manhattanhenge by maximusupinNYc.', 752782244163444736)]","[('Dicho eso Manhattanhenge nyc newyork manhattanhenge iphoneonly.', 752782660829863936)]"
#DifficultPeople,"[('Congrats Shakeenz I knew you d make it big Proud DifficultPeople.', 752755085310988288), ('Watched all of DifficultPeople Season 2 billyeichner is a bigger cunt amp julieklausner is a worse asshole Pure joy.', 752770162030415872), ('Thank you for the fun DifficultOnHulu Be sure to watch me on DifficultPeople on hulu tomorrow.', 752783024941572096), ('billyeichner you are one funny son of a bitch don t stop yelling at people whitesamueljackson difficultpeople billyonthestreet.', 752751644660539396), ('Thanks proenzaschouler DifficultPeople is watch it cc cleaduvall.', 752765019163615232), ('Some people don t cooperate DifficultPeople.', 752776269251506176), ('julieklausner billyeichner Welcome baaaack So happy for more DifficultPeople tonight The Fonda 5000 with Vaseline lens MWAH.', 752767733222117376), ('I rarely LOL and I barely ever type LOL but S2 premiere of DifficultPeople is making me do both Great stuff billyeichner julieklausner.', 752767552703508484), ('DifficultPeople Season 2 is ready for your glowing praise July 12 only on hulu DifficultPride.', 752762870669029376)]","[('billyeichner julieklausner THANK YOU DifficultPeople.', 752774100796317696)]"
#GrowingUpThick,"[('RT aashhleey growingupthick having to do a little dance to put on or pull up your pants.', 752783069061328896), ('growingupthick story of my life.', 752782955785822209), ('growingupthick pants either fit my waist and not my thighs or the other way around.', 752782785828392961), ('Using your belt loops to pull up your pants but they always rip at some point GrowingUpThick.', 752783021258993664), ('redmond growingupthick constantly having to pull your shorts down in the middle because they keep rising up.', 752782937372762112), ('GrowingUpThick having to buy two pairs of your favorite jeans because I already know my thighs are going to rip them.', 752782705817890817), ('GrowingUpThick Pulling up your pants with your belt loop every 5 seconds and this happens and u cry.', 752782956654190592), ('growingupthick skinny friend always complaining she s fat and it s lowkey offensive.', 752782815121420288), ('RT sadieeeeee123 GrowingUpThick side stepping in between desks in class.', 752782806460211200)]","[('redmond growingupthick when you pull up ya pants and the belt loop break.', 752782511344787456)]"
Pokemon,"[('Zo vang je Pokmon zonder het huis te verlaten.', 752782816161718276), ('Pokemon Go CS Go Touch n Go Cannot Go.', 752782811266813952), ('GO GO pokemonGO pokemon.', 752782822494969856), ('Pokemon GO is just insane right now This is in Central Park It s basically been HQ for Pokemon GO.', 752782817893941248), ('Pokmon GO Get Up and Go via YouTube.', 752782813158477824), ('Pokemon go will have people going way over their data limit.', 752782817889652736), ('anthonypadilla Pokemon go or pewdiebot.', 752782816576954368), ('When she ask you if you wanna Pokemon go and chill.', 752782818959323136), ('pokemon go be ruining relationships bruh.', 752782811208253440)]","[('RT selenapenaaah Your mcm chasing pokemon but not you.', 752782822734041088)]"
Tim Duncan,"[('sherman Tim Duncan won five NBA titles but to me his greatest accomplishment will always be Tim Duncan Drinks Bad Gatorade ht.', 752798951674306560), ('TIM DUNCAN by Tory Lanez.', 752799245275717632), ('TheJetOnTNT has a special message for Tim Duncan.', 752799196307009536), ('Cover boy Tim Duncan.', 752798993881632768), ('Tim Duncan retires after 19 seasons five NBA titles ESPN.', 752799088035262464), ('Congratulations to one of the all time greats Tim Duncan.', 752799082976915457), ('Not a fan of Tim Duncan But congrats on his retirement.', 752799126161465345), ('Tim Duncan a class act all the way.', 752799050382979072), ('ChrisBosh Tim Duncan Announces Retirement After 19 Seasons.', 752799072826716160)]","[('Tim Duncan retires after 19 seasons five NBA titles ESPN ESPNTim Duncan retires after 19 seasons five NB.', 752799089037758465)]"
Betty White,"[('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y Queen Latifah was one of the monarchs revered a.', 752782522170286080), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y.', 752791440007180288), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y Queen Latifah wa music.', 752791441827467264), ('Luiis 3x Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y LuisPokel.', 752782529011195904), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y Queen Latifah w Vulture.', 752782518189826049), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y NYCnowApp.', 752792298501574658), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y goodfellazmag mpcm.', 752782615208300544), ('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y via vulture.', 752785760084832256), ('Betty White Did a Dramatic Reading of Queen Latifah s U N I T Y enews Trending.', 752797921951641600)]","[('Betty White Did a Dramatic Reading of Queen Latifahs U N I T Y Queen Latifah was one o.', 752791420277100546)]"
#TravelTuesday,"[('Explore Huatulco at SecretsHuatulco TravelTuesday.', 752798460374609920), ('Which is your favourite travel destination TravelTuesday PS Pack the Haven top with you It s now on SALE.', 752798766936260608), ('Bunch of images from my last trip I love being a travel blogger TravelTuesday.', 752799309121323008), ('Water love South of France TravelTuesday Boating.', 752799237390360576), ('21 travel charts to make planning your trip to us a breeze via BuzzFeed TravelTuesday.', 752799183099273216), ('Exploring Frigiliana Travel Post travel travelblogger traveltuesday.', 752798913678245888), ('Are you a dreamer explorer or discoverer when it comes to travel traveltuesday quotes.', 752798454594826240), ('Experience The Magic Of French Polynesia http Travel TravelTuesday.', 752799338447921152), ('hotels Are you a dreamer explorer or discoverer when it comes to travel traveltuesday quotes.', 752798624921378816)]","[('We re dreaming of beachside engagements on this TravelTuesday.', 752799288250474496)]"
#ALDUBIYAMBukasNa,"[('OFCALDubKoTo excited din kmi ALDUBIYAMBukasNa IYAMTheGrandPremiere.', 752799798906986496), ('Alden Alden si Alden cute mo Meng hahaha ALDUBIYAMBukasNa IYAMTheGrandPremiere.', 752799790736371712), ('Kasal ba ituuuuu Eat Bulaga FB ALDUBIYAMBukasNa.', 752799805508726784), ('Bakit di pa kayo mag live in dalawa Bossing ALDUBIYAMBukasNa.', 752799790161797120), ('Getting Ready EB IYAMTheGrandPremiere M ALDUBIYAMBukasNa.', 752799802899902466), ('GETTING READY NA ANG BRIDE amp GROOM ESTE SI MAINE AT ALDEN FOR PREMIERE IYAMTheGrandPremiere ALDUBIYAMBukasNa https.', 752799800270032897), ('MAINE is getting ready too for the Premiere ALDUBIYAMBukasNa.', 752799796990251008), ('Getting ready for Imagine You amp Me Premiere Night ALDUBIYAMBukasNa.', 752799805714206720), ('ready na kami mainedcm aldenrichards02 ALDUBIYAMBukasNa.', 752799790593781762)]","[('KASALAN NA TO HAHAHAHAHA ALDUBIYAMBukasNa IYAMGranPremiere.', 752799792414068736)]"
Nicki,"[('BrightestVoid CryingHorizon omg nicki minaj.', 752799197720608768), ('Ouvir um pouco Nicki Minaj.', 752798608907341824), ('Nicki is 3 trending on.', 752798179133911040), ('Goodnight Nicki Minaj is the best motherfucking RAPPER in history Yes I said rapper not female rapper RAPPER BITCH T.', 752799168289177600), ('Nicki Minaj is most successful female rapper of all time She writes her own music and to even question her talent at t.', 752799189302710273), ('Lil Kim s Birthday a Tribute and she gets honored Guess who s trending Yes the Queen of Rap Nicki Minaj.', 752798541962219520), ('Nicki Minaj is the most awarded female rapper in ASCAP American Society of Composers Authors amp Publishers history h.', 752798402333802496), ('You can t talk about Female Rappers without putting Nicki in the same sentence because she OWNS the Rap Game Queen http.', 752799170281369600), ('Nicki Minaj s Super Bass is vying to become the first DIAMOND certified song by a female rapper.', 752799168834310144)]","[('Nicki wasn t there Kim was but Nicki s trending.', 752798812368953344)]"
#IShouldEatMoreFruit,"[('T10 IShouldEatMoreFruit instead of letting it rot in my fridge.', 752792174090006528), ('MORE 463 FOLLOWERS FreeSlurpeeDay IShouldEatMoreFruit SMSociety SECMD16 SNAPCHATAGGIETRAIN.', 752792133124255745), ('IShouldEatMoreFruit This is my fruit.', 752790083330117632), ('Hydration is another benefit to plenty of fruit in your diet IShouldEatMoreFruit.', 752790143237578752), ('IShouldEatMoreFruit do they make chocolate fruit SugarGretel No not fruit dipped in chocolate chocolate fruit.', 752792695869931520), ('77 IShouldEatMoreFruit This is my fruit.', 752792026572320768), ('IShouldEatMoreFruit before the fruit eats me.', 752790954252394496), ('Beans should count they are the musical fruit IShouldEatMoreFruit.', 752791660824633344), ('novak IShouldEatMoreFruit gt Just like Vincent BeautyAndTheBeast CW series BatB Photo credit Our awesome Alicia h.', 752798685600182272)]","[('IShouldEatMoreFruit but I m too addicted to catnip Makes me hungry.', 752787455527546880)]"
#TuesdayMotivation,"[('S TuesdayMotivation and Salestips from thegodmother aliedgar13 for more tips mindset https.', 752799379376013313), ('YESSIR TuesdayMotivation DisneyXD comcast kickbuttowski bwar ondemand ESPN.', 752798763131949056), ('Good morning beautiful people What are you up to today TuesdayMotivation.', 752799130003603456), ('I needed to read this today maybe you could use a little motivation too TuesdayMotivation.', 752798953360527361), ('Amsterdam travel inspiration livingroom views that take your breath away TuesdayMotivation.', 752799125863882752), ('Tmr i have to present the work TuesdayMotivation.', 752798833222905856), ('I woke up this morning with hope on my mind The world is yours now hang on for the ride lyrics historyinthemaking TuesdayMotivation.', 752799110500061185), ('Great news on early diagnosis and potentially preventing Brain Injury HealthBenefitsOfTech TuesdayMotivation.', 752799377622695936)]","[('TuesdayMotivation has to be the RioOlympics So excited to be off there in 4 weeks Rio2016.', 752798920997216256)]"
#SMSociety,"[('What questions can social media data really answer Thanks susanjhalford for such an inspiring talk SMSociety https.', 752797624281997312), ('How was SoMe defined for this project Media that affords two way interaction with an audience beyond any specific recipient SMSociety.', 752798556352815104), ('1st sessions at SMSociety Data Urban Experience Analytics Academia amp Social Antisocial Behaviour Full details http.', 752797610415628288), ('Now attending a session on social media amp academia starting by considering what affects SoMe adoption by research teams SMSociety.', 752796713132449792), ('Phase 1 of study in depth interviews of 4 8 inter institutional research teams combined with bibliometric and altmetric data SMSociety.', 752799016015032321), ('What are the known barriers to scholarly SoMe adoption Lack of time lack of recognition for it and information overload SMSociety.', 752798115317608449), ('The data we get from social media should not be thought of as to reflect life outside of social platforms susanjhalford.', 752797186681933824), ('Really appreciating susanjhalford s keynote Fits in w my poster for later today perfectly SMSociety.', 752797426600251392), ('How do we access data susanjhalford SMSociety.', 752797450331680769)]","[('1st sessions at SMSociety Data Urban Experience Analytics Academia amp Social Antisocial Behaviour Full details.', 752797185394110465)]"
#PrimeDay,"[('DestroyThisNerd Il monopoli di starwars sul primeday epicbuy.', 752798756182056960), ('Per il primeday il queenvinylboxset scontato Queen4everBlog ComunitaQueenIT.', 752798719192473600), ('SSD Crucial MX300 750Go pour 63 au lieu de 200 bonplan PrimeDay.', 752798663630544896), ('handmade scarves unique ooak giftideas thnkyougift birthdaygift anniversarygift PrimeDay via AmazonUK.', 752798916748324865), ('PRIMEDAY Le SSD Sandisk 2 5 480Go est 89 gt 127 ailleurs.', 752798751769624576), ('299 99 43 Inch 4K Ultra HD Smart LED TV Amazon Prime Day 2016 Deal PrimeDay.', 752798748317716480), ('gakken Prime Day amazon primeday ht.', 752798693556834304), ('All the biggest Prime Day deals from Snugg available on Amazon all day PrimeDay.', 752798867121405952), ('Let s see what deal s Amazon got for me PrimeDay.', 752798751371190272)]","[('PrimeDay les offres DVD sont ici gt.', 752798821445472256)]"
Draymond Green,"[('Draymond Green was reportedly arrested for assault on Sunday in Michigan.', 752796277331472384), ('Draymond Green arrested for assault charges.', 752798356699746304), ('Report Draymond Green arrested for assault in Michigan.', 752798123760689152), ('Warriors Draymond Green Arrested for Assault RealTalkWithKrystal.', 752796245345857536), ('Draymond Green today in Michigan.', 752797023636598784), ('Golden State Warriors star Draymond Green arrested for assault.', 752796187573575680), ('Draymond Green getting cuffed.', 752797828204814336), ('Infos On a les images de Draymond Green.', 752796119550296064), ('More details on Draymond Green s arrest.', 752799038131535873)]","[('Draymond Green arrested for assault.', 752798213036466176)]"
#FLYinLADay2,"[('US JJP Bnior FLYinLADay2 FLYinLA.', 752799665658015744), ('FLYinLA FlyinLAday2 JackJae.', 752799611807371264), ('MB0402 JackBam FLYinLADay2 FLYinLA.', 752799619654885376), ('tis FlyinLADay2 NiorBam.', 752799655239389184), ('MarkBam FLYinLA FLYinLADay2 cr riseofjun.', 752799586171760640)]","[('160711 FLYinLADay2 JB.', 752799623308271616)]"
Pokemon,"[('Pokemon go is taking over my life.', 752799232956911616), ('pokemon go starter pack.', 752799232113844224), ('I need this hat for my Pokemon GO adventures D.', 752799228125179905), ('Pokemon Go might be the most social I ve seen people be using a social media app And I kinda love it.', 752799232793251840), ('Oh my god even the news in Japan is talking about Pokemon Go overseas The pressure is on for Japanese release 3c.', 752799227256844288), ('the worst pokemon you can catch.', 752799238287831040), ('Top story iPhone Users Pokmon GO Can Spy On Your Entire Google Account see more.', 752799236442513412), ('manera El pokemon go es la pta hostia.', 752799234596999168), ('Yesterday a man walking his dog said to us Are you catching Pokemon It really is quite the sensation He was literall.', 752799239223144449)]","[('I love Pokemon Go look what I caught.', 752799232910917632)]"
#SNAPCHATAGGIETRAIN,"[('SNAPCHATAGGIETRAIN add me on snapchatsupport.', 752791702927187968), ('SNAPCHATAGGIETRAIN.', 752790238465064960), ('Aye y all add me SNAPCHATAGGIETRAIN.', 752785335831199744), ('PaolaMToro SNAPCHATAGGIETRAIN.', 752784597864189952), ('Idk what aggie is buuuut add me SNAPCHATAGGIETRAIN.', 752780193509453824), ('Aye jennifer 1016 SNAPCHATAGGIETRAIN.', 752789078723031041)]","[('SNAPCHATAGGIETRAIN add me dollfacexv.', 752780515858456576)]"
Rich Homie Quan,"[('Rich Homie Quan ain t been the same since him and Thug broke up.', 752798747067813888), ('Rich Homie Quan doesn t know an iconic Biggie verse HipHopHonors.', 752798667048792064), ('who is Rich Homie Quan and why did he do the tribute for biggie not Puff.', 752797393356099584), ('rn When Biggie heard Rich Homie Quan mess up the lyrics to Get Money at the hiphophonors hiphophonors16.', 752799029046579200), ('Thanks for ruining a biggie tribute Rich Homie Quan hiphophonors.', 752798944858476544), ('Me after Rich Homie Quan f s up Biggie s lyrics Blank stare HipHopHonors VH1.', 752798751572447233), ('I heard they let Rich Homie Quan perform the Biggie Get Money verse and he forgot the lyrics.', 752798027924926466), ('Who on the VH1 team said here s an idea lets get Rich Homie Quan for Biggie s verse.', 752799041679872000), ('Y all mad at Rich Homie Quan for messing up on his Biggie tribute amp I m wondering why he was doing a Biggie tribute in.', 752798028814225408)]","[('Rich Homie Quan forgot the Biggie lyrics.', 752798719439990788)]"
Picture Me Rollin,"[('Nipsey Hussle Ft Overdoz Picture Me Rollin.', 752793193863839744), ('New NipseyHussle ft overdoz Picture Me Rollin.', 752795147587510272), ('fresh Nipsey Hussle Picture Me Rollin Ft OverDoz via abegmusic1.', 752794306939719680), ('Music Nipsey Hussle Ft Overdoz Picture Me Rollin.', 752797607135698944), ('AMusic Nipsey Hussle Picture Me Rollin Ft OverDoz follow iAmJayPlatt.', 752780652198580225), ('NEW Nipsey Hussle Feat OverDoz Picture Me Rollin Audio.', 752795148006793220), ('Nipsey Hussle Ft OverDoz Picture MeRollin.', 752794968972931072), ('Music Nipsey Hussle Ft Overdoz Picture MeRollin.', 752796684900413440), ('A new favorite Picture Me Rollin ft Overdoz by NipseyHussle on SoundCloud.', 752785526651023360)]","[('Nipsey Hussle ft Overdoz Picture Me Rollin.', 752783417868189696)]"
#TheBachlorette,"[('Luke is the guy Jojo should be with And the man she is looking for But she won t pick him TheBachlorette.', 752764878352375808), ('If Luke doesn t win I m going to be so upset TheBachlorette.', 752765557254942720), ('I am team Luke all the way TheBachlorette.', 752765106858053633), ('Jojo s gonna pick Jordan which sucks for her because Luke and James Taylor are gonna be the best husbands someday TheBachlorette.', 752773977857077248), ('christineaye wait jk LUKE MAN TheBachlorette.', 752772727656751104), ('I m calling it Jojo is gonna marry Jordan and Luke is gonna be the next Bachelor TheBachlorette.', 752764915727814656), ('RT christineaye I m calling it Jojo is gonna marry Jordan and Luke is gonna be the next Bachelor TheBachlorette.', 752765397342887936), ('lesslina xo Luke s my favorite too TheBachlorette.', 752773719748014080), ('Does Luke ever take off that necklace TheBachlorette.', 752768584284147712)]","[('I can t with Luke TheBachlorette.', 752777243433181184)]"
#ShawnOnFallon,"[('HE S NEXT YALL ShawnOnFallon FallonTonight ShawnMendes jimmyfallon.', 752784401142910976), ('Shawn performing on Jimmy Fallon tonight ShawnMendes jimmyfallon ShawnOnFallon.', 752798002499219456), ('Cool shots taken during Shawn s performance on FallonTonight ShawnOnFallon.', 752799328096382976), ('Shawn and Jimmy ShawnOnFallon.', 752786406527889408), ('Shawn performing Treat You Better on the Tonight show ShawnOnFallon.', 752782095265697792), ('So proud of my baby ShawnOnFallon.', 752793239988629505), ('Shawn with liviatsang via instagram ShawnOnFallon.', 752786337368072192), ('loving the all black messy hair raspy voice electric guitar vibe ShawnOnFallon.', 752794360496939008), ('feels like Shawn gets a haircut every month ShawnOnFallon.', 752792368093495296)]","[('BLESS OML ShawnMendes ShawnOnFallon.', 752783629726674944)]"
#AtlantaAlive,"[('Breaking down the deals on AtlantaAlive 11Alive starting at 5 30am More.', 752780596208738304), ('BlackLivesMatter deray BatonRouge AtlantaAlive UniteBlue NewsHour.', 752664873927049216), ('Breaking down the deals on AtlantaAlive 11Alive starting at 5 30am More than 100 000 to choose from.', 752779540762681344), ('mondaymotivation AtlantaAlive Euro2016Final clubtwitter OverheardAtThe7Eleven WhiteInventions edcampldr.', 752506990362914818), ('The latest ATLANTA CITY LIVING Thanks to HilaryHarwell downtownatlanta 11alive atlantaalive.', 752545276104146944), ('Today s the last day in the job for an Atlanta officer who police say shot and killed a 22yo man AtlantaAlive.', 752796888601100288), ('There are some spots south of the city in the 60s this morning See more AtlantaAlive.', 752794757349376000), ('There are some spots south of the city in the 60s this morning See more AtlantaAlive https.', 752794931928834048), ('APD to fire officer involved in shooting death of midtown burglary suspect AtlantaAlive https.', 752505184174104576)]","[('ATLisReady AtlantaAlive atlantaDemonstration atlantaprotest.', 752552522393460736)]"
#hearteyeshowellblockparty,"[('WHY Y ALL GOTTA BE SO UGLY hearteyeshowellblockparty.', 752796969253339136), ('what is happening why is this trending hearteyeshowellblockparty.', 752797229933408256), ('Can y all stop tweeting hearteyeshowellblockparty and get GetPhilTo4Mil trending.', 752798804525527040), ('good job tp and dnp would despise all of you hearteyeshowellblockparty.', 752797171850813441), ('people that don t understand this is basically it hearteyeshowellblockparty.', 752799008167436288), ('The phandom always complains about ppl hating them but then go and start hearteyeshowellblockparty cause a girl blocke.', 752798928899346432), ('hearteyeshowellblockparty when big accs think they re some kind of queens or something smh ur a fan acc too get ur he.', 752797923344351233), ('the big accounts who started this please do something valuable with your life hearteyeshowellblockparty.', 752798951586144257), ('Wow wait until dan and phil see this hearteyeshowellblockparty.', 752798264269742081)]","[('What is this I m confused hearteyeshowellblockparty.', 752797941501399040)]"
#RedEye,"[('B A on ChristinaParkTV alone redeye.', 752792369645236224), ('Oh thank your other guests too Tom RedEye.', 752774056286429184), ('Do we have a grade for tonight RedEye.', 752775066031579142), ('I feel cheated 2x Last Friday s panel was awesome but RobertJohnDavi is on redEye so seldom Maybe this is why Tom didn.', 752774606528745472), ('Thx tomshillue KennedyNation RobertJohnDavi TheJoeMatarese andylevy Redeye.', 752774256656723968), ('I thought veggies come from the garden RedEye.', 752773860169097216), ('swenson76 Thx tomshillue KennedyNation RobertJohnDavi TheJoeMatarese andylevy Redeye.', 752774439096377344), ('markfuller86 I ll admit that ChristinaParkTV is impossibly gorgeous RedEye.', 752783702602633216), ('Who seated ChristinaParkTV in the middle Come on redeye.', 752775009114943488)]","[('ChristinaParkTV nice on the redeye.', 752775372463230976)]"
Trumbo,"[('Home Run Derby 2016 Mark Trumbo hits the scoreboard Video.', 752788723280977920), ('Giancarlo Stanton is into the finals He downs Mark Trumbo 17 14 Stanton has 41 HR through 2 rounds.', 752777495577960449), ('Mark Trumbo puts on show in Home Run Derby falls to Stanton in semifinals ALCS Os.', 752777198357114881), ('Mark Trumbo was awesome But how long have we been waiting for this Giancarlo Stanton in a Derby final.', 752794142527221760), ('Mark Trumbo Wow HRDerby.', 752778257259311104), ('Mark Trumbo hits EIGHT IN A ROW after his timeout and walks off with 16 HR HRDerby.', 752787825381273600), ('Mark Trumbo look good tonight in HomeRunDerby tonight Honestly that is my favorite thing about the MLBAllStarGa.', 752781602124619776), ('Mark Trumbo look good tonight in HomeRunDerby tonight Honestly that is my favorite thing about the MLBAllStarGame MLBHomeRunDerby.', 752781549171576832), ('Mark Trumbo After 1st Round Timeout 8 HR 8 Swings 66 seconds 3 558 feet 0 67 miles 445 feet per home run.', 752795905393250304)]","[('TrevorStory Orioles Taking a look at Mark Trumbo s chances in the Home Run Derby.', 752790816188346368)]"
Ray's Trash Service,"[('UPDATE 7 trash trucks destroyed in large fire at Ray s Trash Service on US 40 in Hendricks County.', 752784767075090433), ('Hendricks County fire crews fight large fire at Ray s Trash Service on US 40.', 752776108668358656), ('Crews have a large fire under control at Ray s Trash Service in Hendricks County 9 fire department responded rtv6 https.', 752793607682359296), ('BREAKING Crews are on scene of a large fire at Ray s Trash Service on US 40 in Hendricks County.', 752759648994811904), ('BREAKING Crews are fighting a large fire at Ray s Trash Service on US 40 in Hendricks County.', 752797044578799616), ('Crews have a large fire under control at Ray s Trash Service in Hendricks County 9 fire department responded RTV6.', 752794910974021632), ('Crews have a large fire under control at Ray s Trash Service in Hendricks County 9 fire department responded rtv6.', 752783873755516928), ('UPDATE Firefighters say 7 trucks were destroyed in the large fire at Ray s Trash Service on US 40.', 752770640885710848), ('TV 10 departments responded to a huge fire at Ray s Trash Service off US 40 JoeMelillo8 is at the scene Daybreak8.', 752783205950971904)]","[('Hendricks County fire crews fighting large fire on US 40 The fire is at the Ray s Trash Service on U S 40 ne.', 752760659931045888)]"
#AllLivesDidntMatter,"[('People are looking to history to highlight moments when AllLivesDidntMatter.', 752799714660220929), ('RT TheSonOfMars AllLivesDidntMatter when 14 year old Emmett Till was viciously murdered for whistling at a white women.', 752799823330508800), ('AllLivesDidntMatter when every last one of these people were murdered amp all their killers were allowed to go home ht.', 752799828812398592), ('RT TishDelish AllLivesDidntMatter when white supremacists bombed the 16th St Baptist Church in 1963 killing innocent children https.', 752799859753807872), ('AllLivesDidntMatter when the FBI destroyed the Black Panther Party from the inside out but have YET to condemn the KKK.', 752799782276571136), ('AllLivesDidntMatter 50 Blacks BEAT 61yr Old White Man And Yet NO Riots BlackLivesMatter https.', 752799508828827648), ('RT Uncensorable AllLivesDidntMatter when white scientists injected black men in Tuskeegee Alabama with syphilis amp didn t tell them http.', 752799478718005248), ('RT ItsJust JORDAN AllLivesDidntMatter when yall grieved over a gorilla and said oh well to the people lost to police brutality.', 752799543335329793), ('Think about that AllLivesDidntMatter.', 752799755839934464)]","[('AllLivesDidntMatter when black people were counted as three fifths of a person.', 752799473051381760)]"
#HRDerby,"[('Flw Plz SuhilaBnLachhab souhilabenlachhab hrderby oimeninasdob.', 752799024642752512), ('THE CHAMP HRDerby ASG BaseballisFun.', 752797734684459008), ('OMGiancarlo HRDerby ASG BaseballisFun.', 752799111393468416), ('497 feet That is not a typo HRDerby.', 752798969781219328), ('Flw Plz SuhilaBnLachhab souhilabenlachhab hrderby oimeninasdobrasil.', 752797997310803968), ('Ever any doubt Giancarlo818 is your TMobile HRDerby winner and an absolute LEGEND.', 752799388603326464), ('Giancarlo THE BEAST Stanton HRDerby Champion 61 HR in total of course a NEW RECORD Marlins Miami.', 752798337217298432), ('Giancarlo Stanton wins the 2016 HRDerby 1st Marlins player to win the event.', 752797505146933248), ('20 in the final for Stanton 61 overall in the HRDerby Will it be enough.', 752799007588642818)]","[('Shades of toriihunter48 in the 2002 ASG tmobile HRDerby.', 752799003574620160)]"
#MeDeclaroCulpable,"[('BuenosDias Gracias por los RT Menciones y seguirme MeDeclaroCulpable de sentir ilusin y les deseo lo mejor ht.', 752798915943071744), ('leon95 MeDeclaroCulpable De matar cada sueo cada anhelo cada te quiero cada nosotros.', 752798162805456896), ('DameUnaHoraY no saldre dtu Cabeza MartesDeTetas TittyTuesday TercaDosDecotes TetteDelMarted MeDeclaroCulpable htt.', 752799168884801536), ('FelizMartes AquEntreNos MeDeclaroCulpable De recordarle UstedSabeQuinEs.', 752799751171694593), ('MeDeclaroCulpable De matar cada sueo cada anhelo cada te quiero cada nosotros.', 752798046048489472), ('MeDeclaroCulpable de comerme un culito de la torta de algn cumpleaos que mi mam guarda en la nevera para comrsela despus.', 752798079951273986), ('MeDeclaroCulpable de tener una estrategia para llegar primero en las carreras.', 752797666803789824), ('RT MarcoLm MeDeclaroCulpable de haber sido yo quien dio ms en nuestra relacin.', 752799689423159300), ('MeDeclaroCulpable de amarte ms de lo que merecas.', 752797911516348416)]","[('MeDeclaroCulpable de que cuando me inspiro saltan chispas de creacin infinita.', 752798356854837248)]"
My Vocabulary Size,"[('My Vocabulary Size is about 30150 What about you NLN.', 752797229681930241), ('My Vocabulary Size is about 22950 What about you NLN.', 752798128630272000), ('My Vocabulary Size is about 29450 What about you NLN.', 752798713874092032), ('My Vocabulary Size is about 22350 What about you NLN.', 752798626045235201), ('My Vocabulary Size is about 29975 What about you NLN.', 752797357545316352), ('My Vocabulary Size is about 22800 What about you NLN.', 752798662527422465), ('My Vocabulary Size is about 22650 What about you NLN.', 752796391055847424), ('My Vocabulary Size is about 29275 What about you NLN.', 752797988070850560), ('My Vocabulary Size is about 4840 What about you NLN.', 752796619414708224)]","[('My Vocabulary Size is about 30325 What about you NLN.', 752797407038021633)]"
